player_id,nome,squadra,stagione,pg,mv,fantamedia,gol,gol_subiti,rig_segnati,rig_tirati,rig_parati,assist,ammonizioni,espulsioni
7162,Giovane,NAP,2025-26,31,6.0,6.45,3,0,0,0,0,6,2,0
6274,Diouf,INT,2025-26,10,6.15,6.45,1,0,0,0,0,0,1,0
5526,Scalvini,ATA,2025-26,24,6.06,6.44,3,0,0,0,0,1,2,0
5678,Holm,JUV,2025-26,16,6.09,6.44,1,0,0,0,0,4,1,1
5792,Ederson D.S.,ATA,2025-26,30,6.25,6.43,2,0,1,1,0,1,3,0
5506,Ekuban,GEN,2025-26,28,5.96,6.43,4,0,0,0,0,1,0,0
5674,Basic,LAZ,2025-26,23,6.09,6.43,2,0,0,0,0,3,0,1
6832,Palestra,CAG,2025-26,37,6.27,6.42,1,0,0,0,0,4,3,0
4436,Cambiaghi,BOL,2025-26,24,5.98,6.42,3,0,0,0,0,4,3,1
247,Pavoletti,CAG,2025-26,6,6.0,6.42,1,0,0,0,0,0,1,0
5036,Caqueret,COM,2025-26,28,6.11,6.41,2,0,0,0,0,4,3,0
4923,Colombo,GEN,2025-26,37,5.92,6.41,7,0,1,2,0,1,2,0
333,Cataldi,LAZ,2025-26,27,6.07,6.41,3,0,2,2,0,3,6,0
4892,Saelemaekers,MIL,2025-26,35,6.14,6.41,3,0,0,0,0,3,5,0
4807,Hermoso,ROM,2025-26,27,6.17,6.41,3,0,0,0,0,2,9,0
4159,Akanji,INT,2025-26,32,6.28,6.41,2,0,0,0,0,0,4,0
7318,Gandelman,LEC,2025-26,16,5.97,6.41,2,0,0,0,0,1,0,0
7329,Obrador,TOR,2025-26,16,6.06,6.41,1,0,0,0,0,3,1,0
4730,Lookman,ATA,2025-26,10,5.8,6.4,2,0,0,0,0,0,0,0
5422,Zalewski,ATA,2025-26,31,6.10,6.40,2,0,0,0,0,5,3,0
5562,Thuram K.,JUV,2025-26,34,6.10,6.40,3,0,0,0,0,2,2,0
6956,Solet,UDI,2025-26,34,6.18,6.40,3,0,1,1,0,1,1,0
6164,Vitinha O.,GEN,2025-26,31,5.95,6.39,5,0,0,0,0,1,5,0
6066,Posch,COM,2025-26,8,6.06,6.38,1,0,0,0,0,0,1,0
5435,Moreno Alb.,COM,2025-26,16,6.06,6.38,2,0,0,0,0,1,4,0
