player_id,nome,squadra,ruolo_classic,ruolo_mantra,classic_qi,classic_qa,classic_fvm,mantra_qi,mantra_qa,mantra_fvm
7036,Bakola,SAS,c,c/t,5,8,17,5,8,17
6642,Coco,TOR,d,dc,7,8,14,7,8,14
7060,Cacciamani,TOR,c,e/w,5,8,25,6,9,25
5888,Casadei,TOR,c,c/t,10,8,17,10,8,17
6462,Okoye,UDI,p,por,9,8,25,9,8,25
4994,Vojvoda,UDI,d,dd/e,8,8,18,8,8,18
6821,Hainaut,VEN,d,dd/e,3,8,12,3,8,12
6904,Yeboah J.,VEN,a,a,8,8,27,8,8,27
6727,Couto,COM,d,dd/e,8,8,29,8,8,29
7546,Robinson J.,MON,a,a,4,8,13,4,8,13
530,Pellegrini Lo.,ROM,c,c/t,10,8,12,10,8,12
7564,Leysen F.,SAS,d,ds/dc,5,8,12,6,9,14
7612,Bobcek,FRO,a,pc,9,8,10,9,8,10
5675,Theate,BOL,d,ds/dc,8,8,20,9,9,22
4705,Balerdi,ROM,d,dc,6,8,18,6,8,18
4137,Diego Carlos,PAR,d,dc,8,8,16,8,8,16
6344,Sanchez Ro.,COM,p,por,8,8,12,8,8,12
554,Zappacosta,ATA,d,dd/e,8,7,14,8,7,14
2077,Pasalic,ATA,c,c/t,9,7,18,9,7,18
2765,Odgaard,BOL,c,t,8,7,13,7,6,13
6010,Fazzini,CAG,c,c/t,7,7,25,8,8,25
7412,Milla,COM,c,m/c,5,7,26,5,7,31
4952,Monterisi,FRO,d,dc,6,7,12,6,7,12
5791,Frendrup,GEN,c,m/c,7,7,19,8,7,24
6917,Masini,FRO,c,m/c,2,7,13,2,7,16
4970,Messias,GEN,c,w/t,3,7,8,3,7,8
6164,Vitinha O.,GEN,a,a,8,7,11,8,7,11
5520,Cambiaso,JUV,d,dd/ds/e,9,7,10,10,8,12
2134,Falcone,LEC,p,por,8,7,23,8,7,23
5029,Geubbels,LEC,a,pc,9,7,15,8,6,12
6496,Bartesaghi,MIL,d,ds/e,8,7,12,8,7,12
5838,Birindelli,MON,d,dd/ds/e,4,7,13,5,8,15
2170,Milinkovic-Savic V.,NAP,p,por,5,7,13,5,7,13
7529,Koulierakis,ROM,d,dc,8,7,9,8,7,9
6672,Idzes,SAS,d,dc,7,7,14,7,7,14
6717,Konè I.,SAS,c,c,9,7,20,9,7,20
6495,Comuzzo,TOR,d,dc,6,7,10,6,7,10
5010,Ismajli,TOR,d,dc,7,7,12,7,7,12
6827,Njie,FIO,c,w/a,4,7,28,3,6,28
6021,Abankwah,UDI,d,dd/dc,1,7,14,1,7,16
7272,Gueye,UDI,a,pc,4,7,10,3,7,7
5507,Busio,VEN,c,m/c,5,7,14,6,7,17
5946,Sow,GEN,c,m/c,7,7,15,8,8,20
7580,Sutalo J.,LAZ,d,dc,7,7,20,7,7,20
7618,Hutchinson,MIL,c,w/a,8,7,14,7,6,14
7220,Belghali,TOR,d,dd/e,7,7,13,7,7,13
5680,Sarr P.,JUV,c,m/c,7,7,23,8,8,28
7620,Zeballos,MON,a,a,6,7,19,6,7,19
6833,Mbangula,BOL,c,w/a,8,7,16,8,7,16
7623,Gnonto,FIO,a,w/a,7,7,17,8,8,19
7624,Braganca,TOR,c,c,6,7,18,6,7,18
795,El Shaarawy,GEN,c,w,7,7,12,6,6,12
6046,Hien,ATA,d,dc,8,6,10,8,6,10
2640,Kolasinac,ATA,d,ds/dc,5,6,11,6,6,12
4364,Gaetano,ATA,c,m/c,7,6,23,8,7,28
5422,Zalewski,ATA,c,w,6,6,11,5,6,11
5678,Holm,BOL,d,dd/e,5,6,11,5,6,11
4433,Zortea,BOL,d,dd/e,6,6,17,6,6,17
7268,Rodriguez Ju.,CAG,d,ds/dc,3,6,14,4,7,17
5036,Caqueret,COM,c,c/t,6,6,11,6,6,11
7332,Bijlow,GEN,p,por,8,6,11,8,6,11
2832,Boga,JUV,a,w/a,6,6,21,7,6,23
4459,Rovella,LAZ,c,m/c,6,6,16,7,7,19
6990,Veiga D.,LEC,d,dd/e,5,6,12,5,6,12
4502,Gallo,LEC,d,ds/e,6,6,12,6,6,12
6549,Pierotti,LEC,c,w,6,6,16,5,5,14
7252,Stulic,LEC,a,pc,7,6,11,6,5,10
4401,Gabbia,MIL,d,dc,7,6,10,7,6,10
5739,De Winter,MIL,d,dd/dc,3,6,23,4,7,25
5882,Mota,MON,a,a,5,6,10,5,6,10
5131,Gilmour,NAP,c,m/c,3,6,10,3,6,10
6898,Keita M.,PAR,c,m/c,5,6,16,6,7,21
6666,Bernabè,PAR,c,c,7,6,27,7,6,27
7526,Comert,TOR,d,dc,4,6,13,4,6,13
7535,Fitz-Jim,TOR,c,m/c,4,6,18,5,7,23
6218,Oristanio,TOR,c,w/t,7,6,12,7,6,14
7349,Kulenovic,TOR,a,pc,4,6,13,3,6,10
7198,Piotrowski,UDI,c,m/c,5,6,12,6,7,15
6783,Unai Gomez,UDI,c,t,7,6,13,6,6,13
4845,Correia T.,VEN,d,dd/ds/e,4,6,8,4,6,8
7449,Rrahmani Al.,VEN,a,pc,8,6,9,7,6,9
7561,Lontani,PAR,a,a,1,6,15,1,6,15
6618,Cissè A.,MIL,c,w/t,3,6,34,3,6,34
7563,Favasuli,NAP,d,dd/ds/e,4,6,16,5,7,18
7069,Fortini,TOR,d,e,5,6,12,4,6,12
4479,Elmas,ATA,c,w/t,7,6,17,7,6,17
4664,Badiashile,NAP,d,dc,7,6,8,7,6,8
7619,Monteiro J.,LEC,c,w/a,7,6,20,6,6,20
4147,Caleta-Car,SAS,d,dc,6,6,11,6,6,11
7621,Sugawara,CAG,d,dd/e,6,6,9,6,6,9
6319,Leite,LAZ,d,dc,6,6,11,6,6,11
4887,Bellanova,ATA,d,dd/e,6,5,16,6,5,16
7219,Bernasconi,ATA,d,ds/e,6,5,14,6,5,14
7326,Helland,BOL,d,dd/dc,2,5,12,2,5,12
7212,Heggem,BOL,d,ds/dc,6,5,14,7,6,16
6054,Moro N.,BOL,c,m/c,4,5,14,4,5,17
6895,Dominguez B.,SAS,c,w/a,3,5,12,2,5,12
7532,Kofler,CAG,d,dc,5,5,4,5,5,4
1871,Deiola,CAG,c,m/c,3,5,10,3,5,13
6893,Kempf,COM,d,dc,5,5,11,5,5,11
6678,Liberali,COM,c,t,6,5,10,5,4,10
7294,Valdepenas,FIO,d,ds/dc,6,5,10,7,6,12
7410,Viery,FIO,d,ds/dc,6,5,13,7,6,14
7464,Oulai,FIO,c,m/c,6,5,16,7,6,21
6506,Fini,FRO,c,w,3,5,11,2,4,11
5998,Zerbin,FRO,c,w,5,5,11,4,4,10
6660,Marcandalli,GEN,d,dc,6,5,12,6,5,12
6020,Ellertsson,GEN,c,e/c,6,5,14,7,6,17
4177,Pavard,INT,d,dd/dc,6,5,12,7,6,14
5301,Luis Henrique,INT,c,e/w,4,5,12,5,6,14
5831,Gatti,JUV,d,dc,4,5,11,4,5,11
7012,Provstgaard,LAZ,d,dc,3,5,12,3,5,12
4817,Pedraza,LAZ,d,ds/e,5,5,11,5,5,11
2188,Marusic,LAZ,d,dd/ds/e,6,5,16,6,5,18
6191,Belahyane,LAZ,c,m/c,1,5,3,1,5,3
4751,Tomori,MIL,d,dc,7,5,7,7,5,7
2741,Pessina,MON,c,m/c,7,5,15,8,6,20
2724,Buongiorno,NAP,d,dc,7,5,10,7,5,10
6831,Neres,NAP,a,w/a,6,5,17,7,6,19
7411,Daffara,PAR,p,por,7,5,2,7,5,2
7342,Elphege,PAR,a,pc,3,5,10,3,5,10
6631,Ghilardi,ROM,d,dc,4,5,9,4,5,9
4236,Muric,SAS,p,por,7,5,10,7,5,10
6170,Gineitis,TOR,c,m/c,5,5,12,6,6,15
608,Zapata D.,TOR,a,pc,7,5,10,6,5,10
6485,Kristensen T.,ATA,d,dd/dc,7,5,14,8,6,15
5527,Zanoli,UDI,d,dd/e,4,5,10,4,5,10
6248,Stankovic F.,VEN,p,por,6,5,8,6,5,8
5695,Haps,VEN,d,ds/e,5,5,9,5,5,9
5674,Basic,VEN,c,m/c,6,5,13,7,6,16
5319,Sohm,VEN,c,c,5,5,10,5,5,10
6994,Perez K.,VEN,c,c/t,5,5,14,5,5,14
7329,Obrador,SAS,d,ds/e,6,5,9,6,5,9
7573,Cinquegrano,SAS,d,dd/e,1,5,11,1,5,11
7602,Fatah,LEC,a,w/a,4,5,8,5,6,8
5751,Patterson,TOR,d,dd/e,5,5,10,5,5,10
2169,Rodriguez R.,TOR,d,b/ds/e,5,5,9,6,6,10
22,De Roon,ROM,c,m/c,4,4,10,5,5,13
5918,Sulemana K.,ATA,a,a,6,4,4,6,4,4
7068,Vitik,BOL,d,dc,5,4,9,5,4,9
7528,Amondarain,BOL,c,m/c,5,4,11,6,5,14
6640,Felici,CAG,c,w,5,4,7,4,3,7
6815,Fadera,CAG,c,w,2,4,12,2,4,10
7127,Addai,COM,c,w/a,5,4,10,4,3,8
5449,Parisi,FIO,d,ds/e,5,4,10,5,4,10
6206,Fabbian,PAR,c,c/t,4,4,12,4,4,12
5757,Cittadini,FRO,d,dc,3,4,11,3,4,11
7473,Cichella,FRO,c,m/c,4,4,9,4,4,10
7341,Amorim,GEN,c,m/c,4,4,10,5,5,13
7409,Meichtry,GEN,c,w/t,5,4,9,5,4,9
2857,Traorè Hj.,GEN,c,w/t,5,4,9,5,4,9
2529,Mkhitaryan,INT,c,c,5,4,10,5,4,10
6766,Kelly L.,JUV,d,ds/dc,5,4,12,6,5,14
4911,Douglas Luiz,JUV,c,c,4,4,16,4,4,16
6629,Dele-Bashiru,LAZ,c,c/t,5,4,7,5,4,7
6632,Gaspar K.,LEC,d,dc,5,4,12,5,4,12
7240,Siebert,LEC,d,dc,4,4,12,4,4,12
5457,Maleh,LEC,c,m/c,2,4,7,2,4,9
7322,Ngom,LEC,c,m/c,4,4,12,5,5,15
6015,Berisha M.,LEC,c,c/t,5,4,11,5,4,11
7318,Gandelman,LEC,c,c/t,5,4,10,5,4,10
7001,N'Dri,LEC,a,w/a,3,4,10,4,5,11
5273,Estupinan,MIL,d,ds/e,3,4,13,3,4,13
7203,Jashari,MIL,c,m/c,4,4,11,4,4,14
5295,Musah,MIL,c,c/w,2,4,16,2,4,16
4199,Loftus-Cheek,MIL,c,c/t,4,4,15,4,4,15
6519,Camarda,MIL,a,pc,5,4,12,4,3,10
6659,Lucchesi,MON,d,dc,4,4,12,4,4,12
7238,Kouadio,MON,d,dd/dc,3,4,14,3,4,10
4925,Carboni A.,MON,d,ds/dc,3,4,9,4,5,11
7476,Bakoune,MON,d,dd/e,1,4,4,1,4,4
6202,Beukema,NAP,d,dc,6,4,7,6,4,7
5840,Olivera,NAP,d,b/ds/e,5,4,10,6,5,12
7120,Lang,NAP,a,a,3,4,12,3,4,12
6662,Corvi,PAR,p,por,1,4,10,1,4,10
7235,Troilo,PAR,d,dc,3,4,14,3,4,14
7255,Britschgi,PAR,d,dd/ds/e,3,4,12,4,5,12
4349,Nicolussi Caviglia,PAR,c,m/c,6,4,16,7,5,21
7213,Frigan,PAR,a,a,5,4,5,5,4,5
6986,Rensch,ROM,d,b/dd/e,5,4,13,6,5,15
6005,Ilkhan,TOR,c,m/c,4,4,8,5,5,10
5007,Ilic,LEC,c,m/c,1,4,13,1,4,16
5820,Bertola,UDI,d,dd/ds/dc,4,4,9,6,5,10
7208,Miller L.,UDI,c,m/c,3,4,12,3,4,15
7253,Bella-Kotchap,VEN,d,dc,6,4,11,6,4,11
6890,Moreno M.,VEN,d,dc,5,4,6,5,4,6
4387,Adorante,VEN,a,pc,5,4,4,4,3,4
7550,Grillitsch,FRO,c,m/c,5,4,9,5,4,12
4375,Terzic,FRO,d,ds/e,4,4,5,4,4,5
2012,Milik,JUV,a,pc,5,4,1,4,3,1
7146,Tourè I.,MON,c,e/m,6,4,10,8,6,12
7610,Birligea,FRO,a,pc,5,4,3,5,4,3
6145,Ngonge,MON,a,a,5,4,10,5,4,10
256,Juan Jesus,VEN,d,ds/dc,4,4,10,5,5,12
6047,Ehizibue,GEN,d,dd/e,4,4,10,4,4,10
5578,Kossounou,ATA,d,dd/dc,3,3,12,3,3,12
6024,Sulemana I.,SAS,c,m/c,3,3,7,3,3,8
7301,Tornqvist,MON,p,por,1,3,8,1,3,8
7014,Smolcic I.,COM,d,dd/e,4,3,10,4,3,10
5603,Pongracic,FIO,d,dc,4,3,8,4,3,8
4378,Ranieri L.,FIO,d,ds/dc,3,3,10,3,3,12
4947,Brescianini,FIO,c,c/t,3,3,8,3,3,8
6903,Hasa,FRO,c,c/t,2,3,5,2,3,5
7537,Mitaj,GEN,d,ds/e,4,3,7,4,3,7
7453,Havel,GEN,a,pc,4,3,4,3,2,4
7131,Floriani Mussolini,LAZ,d,dd/e,3,3,11,3,3,11
333,Cataldi,LAZ,c,m/c,4,3,8,5,4,10
7248,Gorter,LEC,c,m/c,1,3,12,1,3,15
5453,Ricci S.,COM,c,m/c,4,3,12,4,3,15
4485,Thiam,MON,p,por,5,3,3,5,3,3
6252,Folorunsho,MON,c,c/t,4,3,15,4,3,15
7162,Giovane,NAP,a,a,4,3,1,4,3,1
6215,Lucca,NAP,a,pc,3,3,11,3,3,10
5307,Valenti,PAR,d,dc,4,3,10,4,3,10
7138,Ordonez C.,PAR,c,m/c,2,3,10,2,3,13
7536,Diallo O.,PAR,c,w/a,3,3,8,2,2,8
4374,Walukiewicz,SAS,d,dd/dc,4,3,10,4,3,12
6246,Lipani,SAS,c,m/c,2,3,5,2,3,5
4263,Kabasele,UDI,d,dc,4,3,10,4,3,10
5994,Ebosse,UDI,d,ds/dc,2,3,5,2,3,5
7312,Arizala,UDI,d,ds/e,4,3,8,4,3,8
7418,Chakvetadze,UDI,c,w/t,2,3,6,2,3,6
6681,Sagrado,VEN,d,dd/e,2,3,4,2,3,4
7154,Odenthal,SAS,d,dc,1,3,6,1,3,6
7599,Lulli,ROM,d,e,1,3,10,1,3,10
7579,Massolin,CAG,c,c/t,4,3,12,4,3,12
801,Gagliardini,CAG,c,m/c,3,3,8,4,4,9
7232,Fernandez T.,VEN,c,t/a,3,3,8,2,2,6
5336,Nzola,CAG,a,pc,4,3,10,4,3,10
5498,Casale,BOL,d,dc,3,2,5,3,2,5
487,De Silvestri,BOL,d,dd/e,1,2,4,1,2,4
7483,Alhassane,BOL,d,ds/e,2,2,6,2,2,6
6225,El Azzouzi O.,BOL,c,m/c,2,2,9,2,2,11
7125,Idrissi R.,CAG,d,ds/e,3,2,3,3,2,3
7175,Joao Mario,FIO,d,dd/e,3,2,12,3,2,12
7540,Akpoguma,FRO,d,dc,3,2,6,3,2,6
6241,Gelli F.,FRO,c,c/t,3,2,6,3,2,6
6977,Otoa,GEN,d,dc,2,2,5,2,2,5
7413,Puczka,GEN,d,ds/e,2,2,3,2,2,3
791,Sabelli,GEN,d,dd/ds/e,2,2,5,2,2,5
6503,Stankovic A.,INT,c,m/c,3,2,7,3,2,9
6822,Ekhator,JUV,a,a,3,2,6,3,2,6
6410,Kaba,LEC,c,m/c,1,2,2,1,2,2
7477,Colombo L.,MON,c,m/c,3,2,4,3,2,5
6638,Marin R.,NAP,d,dc,2,2,13,2,2,13
7276,Cremaschi,PAR,c,e/c,1,2,3,1,2,3
6985,Candè,SAS,d,ds/dc,3,2,6,3,2,6
7183,Aboukhlal,TOR,c,w/a,3,2,5,2,1,4
6925,Palma,UDI,d,dc,2,2,8,2,2,8
7161,Bayo V.,UDI,a,pc,1,2,3,1,2,3
7538,Halhal,VEN,d,dc,4,2,7,4,2,7
6892,Schingtienne,VEN,d,dc,3,2,10,3,2,10
6673,Sverko,VEN,d,ds/dc,3,2,7,3,2,7
7478,Franjic,VEN,d,b/ds/e,2,2,6,2,2,6
5872,Helgason,VEN,c,c/t,3,2,3,3,2,3
7482,Lauberbach,VEN,a,pc,1,2,1,1,2,1
6592,Forson O.,MON,c,w/t,1,2,1,1,2,1
7574,Foe Ondoa,MON,c,c,1,2,4,1,2,4
7605,Tchato,FRO,d,dd/e,3,2,6,3,2,6
6601,Kambwala,COM,d,dd/dc,3,2,5,4,3,5
7615,Drobnic,PAR,d,dc,1,2,1,1,2,1
5742,Drameh,GEN,d,dd/ds/e,3,2,9,4,3,10
7628,Sierro,PAR,c,m/c,1,2,10,1,2,10
7647,Esteban,LEC,a,pc,1,2,3,1,2,3
4,Sportiello,ATA,p,por,1,1,1,1,1,1
7533,Happonen,BOL,p,por,1,1,1,1,1,1
7172,Pessina Mas.,BOL,p,por,1,1,1,1,1,1
6650,Sherri,CAG,p,por,1,1,1,1,1,1
